1342915684477644801 2020-12-27 03:30:24 +0800 <GrootKo> Polen komt met wet tegen censuur door social media! Boetes tot 1,8 miljoen euro  https://t.co/UWjeerrw1Z
1342896054778392578 2020-12-27 02:12:23 +0800 <GrootKo> ‘Prinses Mabel probeerde stoned als een garnaal Mark Rutte te verleiden’  https://t.co/CJyzwbEQlp via @TPOnl
1342872817000456193 2020-12-27 00:40:03 +0800 <GrootKo> Paul Hekkens – Mark Rutte is beter in het wegvegen dan in het oplossen van problemen  https://t.co/BBJzXWK1Dg via @TPOnl
1342807258925830146 2020-12-26 20:19:33 +0800 <GrootKo> Robert Kennedy Jr. waarschuwt voor een machtsgreep om de globale democratieën te verslaan  https://t.co/wonJ4rHpVs via @Frontnieuws
1342804774069161986 2020-12-26 20:09:40 +0800 <GrootKo> 'Wie nu nog steeds gelooft in Rutte spoort niet'  https://t.co/UAeyCzYFbV
1342803307253932032 2020-12-26 20:03:51 +0800 <GrootKo> Raden wat dit bruggetje in Den Bosch heeft gekost  https://t.co/sdHXhphovF
1342802885512474624 2020-12-26 20:02:10 +0800 <GrootKo> Wat zou het mooi zijn; een Nederland zonder de islam . . .  https://t.co/SyTYnAoVDm via @EJBron2
1342802569891086337 2020-12-26 20:00:55 +0800 <GrootKo> Onruststokers zorgen opnieuw voor chaos in Veen  https://t.co/yW63GXsh3M via @telegraaf
1342765035274301440 2020-12-26 17:31:46 +0800 <GrootKo> Grote groep gerenommeerde experts boos over uitblijven vitamine D-advies tegen Corona  https://t.co/sFJ4bGxIYk via @JDreport
1342747759431049218 2020-12-26 16:23:07 +0800 <GrootKo> BRIEFJE VAN KEES – Aan boosrechts  https://t.co/240Jz7fhrI via @TPOnl
1342747293645234176 2020-12-26 16:21:16 +0800 <GrootKo> Italië: “Wie zich niet laat vaccineren, wordt ontslagen”  https://t.co/jw9YesErW3 via @Frontnieuws
1342746501324435456 2020-12-26 16:18:07 +0800 <GrootKo> Het monsterverbond van links rondom Kauthar Bouchallikht  https://t.co/GDBX18P5Eg via @Cultuur_Vuur
